,City,Cloudiness,Country,Date,Humidity,Lat,Longitude,Max Temp,Wind Speed (mph)
0,butaritari,100,KI,1572662822,77,3.07,172.79,83.5,19.48
1,ushuaia,40,AR,1572662952,84,-54.81,-68.31,37.4,5.82
2,nikolskoye,90,RU,1572662904,86,59.7,30.79,30.99,4.47
3,barrow,100,AR,1572662952,96,-38.31,-60.23,62.13,10.18
4,kidal,12,ML,1572662953,26,18.44,1.41,77.31,4.83
5,fereydun kenar,75,IR,1572662953,93,36.69,52.52,57.2,1.66
6,chokurdakh,100,RU,1572662953,95,70.62,147.9,0.16,2.19
7,vila velha,40,BR,1572662953,74,-3.71,-38.6,80.6,14.99
8,vila,90,IT,1572662954,93,45.18,8.4,52.0,1.12
9,tibati,100,CM,1572662954,92,6.47,12.63,66.51,1.83
10,albany,90,US,1572662831,56,42.65,-73.75,43.0,9.17
11,pisco,84,PE,1572662713,77,-13.71,-76.2,66.0,16.11
12,flin flon,81,CA,1572662954,93,54.77,-101.88,29.16,6.06
13,rikitea,100,PF,1572662663,66,-23.12,-134.97,72.18,8.61
14,vaini,20,IN,1572662955,93,15.34,74.49,66.2,3.96
15,kaitangata,38,NZ,1572662683,12,-46.28,169.85,82.99,18.01
16,san miguel,100,AR,1572662955,83,-34.54,-58.72,71.6,3.36
17,cabo san lucas,5,MX,1572662666,73,22.89,-109.91,80.01,9.17
18,punta arenas,75,CL,1572662797,75,-53.16,-70.91,44.6,10.29
19,goundam,76,ML,1572662956,17,16.42,-3.66,82.17,12.82
20,faanui,77,PF,1572662956,79,-16.48,-151.75,81.32,10.45
21,lebu,75,ET,1572662956,58,8.96,38.73,55.4,2.24
22,mataura,0,NZ,1572662664,50,-46.19,168.86,76.03,11.99
23,goya,0,AR,1572662829,71,-29.14,-59.27,75.85,5.68
24,kamaishi,40,JP,1572662957,48,39.28,141.86,60.8,12.75
25,provideniya,0,RU,1572662957,90,64.42,-173.23,16.32,2.1
26,rio gallegos,75,AR,1572662958,57,-51.62,-69.22,48.2,5.82
27,laguna,90,BZ,1572662958,94,16.17,-88.94,77.0,4.7
28,luanshya,55,ZM,1572662959,66,-13.14,28.42,67.69,8.63
29,saldanha,95,PT,1572662863,87,41.42,-6.55,56.95,13.02
30,matay,0,EG,1572662959,50,28.42,30.79,62.1,5.86
31,dunedin,0,NZ,1572662959,73,-45.87,170.5,62.01,11.01
32,north bend,1,US,1572662960,71,43.41,-124.22,53.01,4.7
33,eureka,1,US,1572662960,81,40.8,-124.16,50.0,2.93
34,bandarbeyla,81,SO,1572662714,77,9.49,50.81,81.88,10.16
35,kirakira,65,SB,1572662960,72,-10.46,161.92,82.22,14.07
36,kaeo,0,NZ,1572662960,62,-35.1,173.78,73.99,8.16
37,la ronge,90,CA,1572662918,96,55.1,-105.3,32.0,4.7
38,cape town,75,ZA,1572662944,87,-33.93,18.42,60.01,11.41
39,jamestown,91,AU,1572662961,42,-33.21,138.6,71.62,8.34
40,coihaique,1,CL,1572662961,42,-45.58,-72.07,48.2,10.29
41,ribeira grande,88,PT,1572662961,86,38.52,-28.7,61.14,9.28
42,kroya,78,ID,1572662962,47,-6.5,108.06,91.2,3.02
43,saint-philippe,1,CA,1572662914,64,45.36,-73.48,37.4,3.36
44,puerto ayora,60,EC,1572662962,93,-0.74,-90.35,68.0,5.01
45,avarua,100,CK,1572662962,78,-21.21,-159.78,75.2,3.36
46,tigil,100,RU,1572662963,82,57.8,158.67,37.36,14.41
47,salalah,100,OM,1572662963,58,17.01,54.1,82.4,12.75
48,nouadhibou,0,MR,1572662963,57,20.93,-17.03,75.2,14.99
49,wakkanai,20,JP,1572662963,39,45.41,141.67,50.0,29.97
50,port lincoln,0,AU,1572662847,36,-34.72,135.86,71.47,13.15
51,san cristobal,100,HN,1572662964,96,14.68,-86.92,65.62,2.98
52,arraial do cabo,75,BR,1572662835,88,-22.97,-42.02,75.2,4.7
53,losheim,90,DE,1572662964,100,50.36,6.37,57.99,12.75
54,hobart,75,AU,1572662965,88,-42.88,147.33,66.99,5.82
55,narsaq,20,GL,1572662965,68,60.91,-46.05,30.2,1.12
56,norman wells,75,CA,1572662965,92,65.28,-126.83,19.4,2.24
57,iqaluit,75,CA,1572662965,85,63.75,-68.52,24.8,3.85
58,ust-kuyga,97,RU,1572662966,95,70.0,135.55,6.26,2.01
59,fortuna,1,US,1572662686,81,40.6,-124.16,50.0,1.88
60,chuy,83,UY,1572662966,93,-33.69,-53.46,62.89,11.5
61,tasiilaq,100,GL,1572662966,68,65.61,-37.64,28.4,16.11
62,champerico,75,MX,1572662966,73,16.38,-93.6,69.8,16.11
63,tura,100,RU,1572662967,93,64.27,100.22,10.72,3.49
64,mount gambier,40,AU,1572662927,72,-37.83,140.78,62.6,16.11
65,comodoro rivadavia,0,AR,1572662967,33,-45.87,-67.48,59.0,10.29
66,pevek,0,RU,1572662967,89,69.7,170.27,7.66,4.25
67,kanchanaburi,95,TH,1572662968,90,14.03,99.53,74.08,9.19
68,faya,58,SA,1572662968,87,18.39,42.45,60.8,3.36
69,pankrushikha,27,RU,1572662968,53,53.83,80.35,27.54,15.77
70,westport,1,US,1572662968,48,41.14,-73.36,48.0,11.41
71,kodiak,1,US,1572662877,86,39.95,-94.76,39.2,8.05
72,bilma,54,NE,1572662969,15,18.69,12.92,76.06,7.25
73,boyolangu,98,ID,1572662969,64,-8.09,111.9,84.16,12.8
74,new norfolk,75,AU,1572662969,88,-42.78,147.06,66.99,5.82
